*Vertices 340
1 "人体经络显示屏,2011-06-16"
211 269 0.38
211 270 0.39
211 271 0.11
211 272 0.1
211 273 0.15
211 274 0.25
211 275 0.22
211 287 0.22
211 289 0.18
211 291 0.23
297 211 0.22
211 305 0.25
211 306 0.25
211 307 0.22
211 308 0.38
328 211 0.15
212 213 0.21
212 214 0.06
212 215 0.34
212 217 0.16
212 218 0.1
212 219 0.12
212 220 0.16
223 212 0.36
212 224 0.12
225 212 0.17
226 212 0.17
212 227 0.12
228 212 0.21
229 212 0.24
230 212 0.21
212 231 0.12
232 212 0.31
212 233 0.12
212 234 0.18
236 212 0.33
212 237 0.08
212 239 0.57
212 240 0.32
212 248 0.47
249 212 0.15
212 250 0.12
212 251 0.12
212 252 0.12
212 253 0.17
212 254 0.18
212 255 0.08
212 258 0.07
212 261 0.17
263 212 0.24
264 212 0.26
212 266 0.12
212 267 0.12
212 268 0.12
212 269 0.41
212 270 0.27
212 271 0.24
212 272 0.27
212 273 0.17
212 274 0.18
212 275 0.12
282 212 0.05
212 283 0.12
212 284 0.12
212 285 0.08
212 287 0.12
212 288 0.08
212 289 0.1
212 291 0.25
212 292 0.12
297 212 0.18
212 299 0.12
212 300 0.12
212 305 0.23
212 306 0.32
212 307 0.12
212 308 0.38
212 309 0.08
212 320 0.14
212 321 0.12
212 323 0.12
212 327 0.08
328 212 0.28
212 329 0.04
212 331 0.12
212 333 0.06
212 335 0.12
212 338 0.07
212 339 0.1
212 340 0.17
215 213 0.47
232 213 0.21
236 213 0.21
239 213 0.37
248 213 0.07
213 261 0.63
264 213 0.48
213 265 0.45
269 213 0.39
271 213 0.67
272 213 0.4
291 213 0.12
297 213 0.11
213 304 0.45
305 213 0.34
328 213 0.3
214 222 0.45
223 214 0.17
228 214 0.29
229 214 0.25
236 214 0.11
214 289 0.2
214 329 0.17
230 215 0.16
232 215 0.17
236 215 0.41
239 215 0.46
240 215 0.13
248 215 0.11
215 261 0.5
263 215 0.29
264 215 0.38
215 268 0.35
269 215 0.41
215 271 0.35
215 272 0.32
215 273 0.5
215 291 0.09
297 215 0.09
215 305 0.13
306 215 0.53
328 215 0.24
215 340 0.25
234 216 0.53
239 216 0.12
248 216 0.23
333 216 0.35
239 217 0.22
248 217 0.36
217 288 0.32
217 320 0.26
333 217 0.22
217 339 0.18
218 220 0.14
218 234 0.15
239 218 0.34
248 218 0.33
218 254 0.2
218 266 0.41
218 284 0.2
323 218 0.2
218 329 0.14
218 330 0.41
218 331 0.41
218 333 0.2
258 219 0.58
232 220 0.08
234 220 0.13
235 220 0.33
239 220 0.05
242 220 0.33
248 220 0.22
220 254 0.17
220 266 0.33
220 284 0.5
220 285 0.24
220 292 0.33
297 220 0.08
220 309 0.24
319 220 0.33
220 320 0.19
323 220 0.17
220 331 0.33
338 220 0.19
236 222 0.31
222 257 0.45
289 222 0.37
329 222 0.15
223 224 0.33
225 223 0.24
226 223 0.24
223 227 0.33
228 223 0.58
229 223 0.5
230 223 0.3
223 231 0.33
232 223 0.39
223 233 0.33
236 223 0.38
249 223 0.27
223 250 0.33
223 251 0.33
263 223 0.41
223 275 0.33
223 283 0.33
223 289 0.27
297 223 0.25
223 308 0.58
328 223 0.44
223 335 0.33
223 338 0.19
232 224 0.24
289 224 0.41
297 224 0.25
308 224 0.29
328 224 0.33
226 225 1.0
228 225 0.41
229 225 0.71
230 225 0.32
232 225 0.17
236 225 0.32
249 225 0.29
263 225 0.29
328 225 0.47
228 226 0.41
229 226 0.71
230 226 0.32
232 226 0.17
236 226 0.32
249 226 0.29
263 226 0.29
328 226 0.47
230 227 0.45
236 227 0.23
250 227 1.0
251 227 1.0
308 227 0.29
335 227 1.0
229 228 0.87
230 228 0.26
232 228 0.27
236 228 0.26
249 228 0.47
263 228 0.24
228 275 0.58
328 228 0.38
230 229 0.22
232 229 0.24
236 229 0.34
249 229 0.41
263 229 0.2
229 275 0.5
328 229 0.5
232 230 0.11
236 230 0.51
230 239 0.15
249 230 0.18
230 250 0.45
230 251 0.45
263 230 0.55
230 277 0.45
297 230 0.11
230 306 0.17
230 308 0.26
230 318 0.45
328 230 0.15
230 335 0.45
232 231 0.24
233 231 1.0
297 231 0.25
308 231 0.29
328 231 0.33
232 233 0.24
232 235 0.24
236 232 0.27
232 239 0.12
232 240 0.09
232 242 0.24
232 248 0.11
249 232 0.19
232 252 0.24
232 261 0.33
263 232 0.19
264 232 0.19
232 269 0.2
232 270 0.11
232 271 0.24
232 272 0.21
232 274 0.36
232 275 0.24
282 232 0.19
232 283 0.24
232 287 0.24
232 289 0.1
232 294 0.24
297 232 0.29
232 307 0.24
232 308 0.27
232 319 0.24
232 327 0.17
328 232 0.47
232 329 0.24
232 337 0.24
232 338 0.14
232 339 0.1
297 233 0.25
308 233 0.29
328 233 0.33
239 234 0.31
248 234 0.43
234 254 0.19
234 266 0.38
234 274 0.14
234 284 0.19
234 288 0.27
234 291 0.1
323 234 0.19
234 329 0.13
234 331 0.38
333 234 0.19
242 235 1.0
319 235 1.0
338 235 0.58
236 239 0.23
236 248 0.04
249 236 0.19
236 250 0.23
236 251 0.23
236 257 0.23
236 261 0.32
263 236 0.56
264 236 0.12
236 268 0.23
236 269 0.2
236 271 0.23
236 272 0.21
236 273 0.16
236 275 0.23
236 277 0.23
236 283 0.23
236 286 0.23
236 289 0.28
236 291 0.12
297 236 0.11
236 305 0.09
236 306 0.26
236 308 0.26
236 318 0.23
328 236 0.38
236 329 0.08
236 335 0.23
236 338 0.13
237 247 0.71
237 291 0.18
323 237 0.35
339 237 0.29
291 238 0.26
239 240 0.43
248 239 0.51
249 239 0.07
239 254 0.16
239 261 0.23
263 239 0.13
264 239 0.31
239 265 0.16
239 266 0.16
239 268 0.16
239 269 0.57
239 270 0.37
239 271 0.33
239 272 0.37
239 273 0.23
239 274 0.25
282 239 0.07
239 284 0.08
239 288 0.23
239 291 0.3
297 239 0.04
239 304 0.16
239 305 0.37
239 306 0.43
239 308 0.24
323 239 0.08
328 239 0.11
239 329 0.05
239 331 0.16
239 333 0.25
239 340 0.23
248 240 0.12
264 240 0.2
269 240 0.65
270 240 0.85
240 273 0.27
240 274 0.43
240 291 0.2
240 306 0.14
308 240 0.55
290 241 0.58
312 241 0.29
315 241 0.41
319 242 1.0
338 242 0.58
289 245 0.41
291 247 0.26
248 252 0.16
248 254 0.16
248 261 0.11
264 248 0.17
248 266 0.16
248 267 0.16
248 269 0.09
248 270 0.07
248 271 0.08
248 272 0.07
248 273 0.11
248 274 0.12
282 248 0.13
248 284 0.16
248 285 0.11
248 288 0.23
248 291 0.04
248 292 0.16
248 298 0.16
248 303 0.16
248 308 0.05
248 309 0.11
248 314 0.16
248 320 0.19
323 248 0.08
328 248 0.05
248 329 0.05
248 331 0.16
248 333 0.32
248 339 0.13
263 249 0.17
264 249 0.11
249 272 0.18
249 275 0.41
249 291 0.11
249 305 0.31
328 249 0.27
249 338 0.24
251 250 1.0
308 250 0.29
335 250 1.0
308 251 0.29
335 251 1.0
339 252 0.41
264 253 0.19
291 253 0.18
300 253 0.71
254 266 0.5
254 284 0.25
254 299 0.5
254 321 0.5
323 254 0.25
254 324 0.5
254 331 0.5
264 261 0.38
269 261 0.41
271 261 0.71
272 261 0.63
297 261 0.18
328 261 0.47
313 262 1.0
263 269 0.12
263 277 0.41
263 283 0.41
263 291 0.11
297 263 0.1
263 305 0.15
263 306 0.31
263 308 0.35
263 318 0.41
328 263 0.14
263 338 0.24
264 265 0.27
264 269 0.31
264 270 0.12
264 271 0.27
264 272 0.36
264 273 0.19
264 274 0.1
279 264 0.27
282 264 0.11
264 285 0.19
264 291 0.14
297 264 0.27
264 304 0.27
264 305 0.2
264 308 0.08
264 325 0.27
264 328 0.27
304 265 1.0
305 265 0.38
284 266 0.5
323 266 0.5
331 266 1.0
273 268 0.71
306 268 0.38
270 269 0.65
269 271 0.43
269 272 0.52
269 274 0.33
269 291 0.37
297 269 0.07
269 305 0.33
269 306 0.44
308 269 0.42
328 269 0.19
269 340 0.2
270 274 0.51
270 291 0.12
270 306 0.17
308 270 0.52
272 271 0.67
291 271 0.26
297 271 0.13
305 271 0.38
306 271 0.19
328 271 0.33
340 271 0.35
291 272 0.23
297 272 0.11
305 272 0.51
306 272 0.34
328 272 0.3
340 272 0.32
306 273 0.27
282 274 0.31
274 291 0.1
306 274 0.14
308 274 0.33
274 329 0.38
274 337 0.38
328 275 0.33
297 277 0.25
308 277 0.29
318 277 1.0
282 279 0.41
297 279 0.25
296 280 1.0
297 280 0.25
297 282 0.1
282 329 0.27
282 337 0.41
308 283 0.29
284 285 0.35
284 293 0.5
323 284 0.25
284 331 0.5
289 286 0.41
297 287 0.25
291 288 0.18
297 289 0.2
308 289 0.24
328 289 0.14
289 329 0.14
312 290 0.5
305 291 0.49
306 291 0.29
308 291 0.15
291 327 0.18
340 291 0.18
309 292 0.71
327 294 0.71
297 296 0.25
297 308 0.29
297 318 0.25
297 325 0.25
297 328 0.33
321 299 1.0
314 303 1.0
305 304 0.38
306 305 0.43
340 305 0.27
308 306 0.11
306 340 0.53
308 318 0.29
328 308 0.19
335 308 0.29
308 338 0.17
309 310 0.71
315 311 0.71
312 316 0.5
312 336 0.5
338 319 0.58
339 320 0.24
323 331 0.5
323 339 0.2
334 326 1.0
330 329 0.33
329 337 0.33
